epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,161.322,0.56876,0.83186,0.95751,0.94739,0.87382,0.95537,0.79887,0.6687,0.8472,0.99926,0.000990365,0.000990365,0.000990365
43,165.036,0.58015,0.82958,0.99826,0.90826,0.93333,0.95776,0.81045,0.57421,0.81881,0.96168,0.000973861,0.000973861,0.000973861
44,168.768,0.64747,0.82748,1.03416,0.98478,0.90549,0.94391,0.80054,0.59315,0.80437,0.96341,0.000957358,0.000957358,0.000957358
45,172.228,0.56859,0.78377,0.94492,0.95117,0.9,0.94754,0.78271,0.6336,0.81975,0.93327,0.000940855,0.000940855,0.000940855
46,176.589,0.54511,0.77112,0.93816,0.89228,0.85183,0.93824,0.75972,0.74576,0.81868,1.04463,0.000924352,0.000924352,0.000924352
47,181.789,0.63275,0.83353,1.00745,0.92171,0.86656,0.94248,0.74801,0.7454,0.81392,1.03624,0.000907848,0.000907848,0.000907848
48,185.989,0.57537,0.80178,0.98588,0.90682,0.9,0.94518,0.77218,0.69789,0.78169,0.99546,0.000891345,0.000891345,0.000891345
49,189.997,0.56818,0.76321,0.95794,0.90483,0.95424,0.95965,0.78418,0.69704,0.78508,1.02058,0.000874842,0.000874842,0.000874842
50,194.34,0.59171,0.81447,1.00835,0.90787,0.93333,0.9597,0.78879,0.68427,0.76662,1.03573,0.000858338,0.000858338,0.000858338
51,198.624,0.61001,0.79659,0.97443,0.86817,1,0.97402,0.80632,0.65407,0.71278,0.98894,0.000841835,0.000841835,0.000841835
52,203.28,0.53924,0.75612,0.94685,0.98932,0.92717,0.97875,0.82057,0.64616,0.6756,0.96833,0.000825332,0.000825332,0.000825332
53,207.525,0.53423,0.68195,0.92374,0.96607,0.96667,0.9875,0.88081,0.54748,0.62495,0.93109,0.000808828,0.000808828,0.000808828
54,211.674,0.50959,0.69825,0.93397,0.96673,0.96667,0.98868,0.8763,0.50243,0.58058,0.9183,0.000792325,0.000792325,0.000792325
55,215.839,0.50592,0.69718,0.96056,0.97756,0.99777,0.995,0.89017,0.49647,0.56177,0.90968,0.000775822,0.000775822,0.000775822
56,220.006,0.46589,0.65621,0.89485,0.99273,1,0.995,0.87518,0.51514,0.54175,0.90316,0.000759318,0.000759318,0.000759318
57,224.166,0.49448,0.64684,0.94378,0.98658,0.99725,0.995,0.88075,0.55022,0.53843,0.90351,0.000742815,0.000742815,0.000742815
58,228.222,0.48379,0.64797,0.9216,0.97639,0.99701,0.995,0.86703,0.53878,0.54033,0.89816,0.000726312,0.000726312,0.000726312
59,232.907,0.54922,0.70017,1.00145,0.99483,0.96667,0.99313,0.87967,0.53577,0.54718,0.90951,0.000709809,0.000709809,0.000709809
60,237.712,0.45943,0.64354,0.8968,0.99475,0.96667,0.99313,0.86488,0.55942,0.55381,0.91301,0.000693305,0.000693305,0.000693305
61,242.791,0.54303,0.63338,0.94408,0.9942,0.96667,0.99147,0.8358,0.585,0.57177,0.91717,0.000676802,0.000676802,0.000676802
62,248.001,0.51897,0.63475,0.97723,0.99364,0.96667,0.99,0.87371,0.53022,0.5325,0.90342,0.000660299,0.000660299,0.000660299
63,252.382,0.44554,0.563,0.93634,0.99241,0.96667,0.99,0.87189,0.50337,0.51464,0.89963,0.000643795,0.000643795,0.000643795
64,256.718,0.50903,0.65501,0.94763,0.98604,0.96667,0.99,0.88563,0.48339,0.53251,0.89177,0.000627292,0.000627292,0.000627292
65,261.006,0.50678,0.61946,0.91851,0.97556,0.96667,0.98868,0.8857,0.48604,0.56214,0.88841,0.000610789,0.000610789,0.000610789
66,265.33,0.48957,0.59753,0.94848,0.96285,0.96398,0.99,0.87045,0.49982,0.59167,0.89193,0.000594286,0.000594286,0.000594286
67,270.535,0.50846,0.64595,0.97199,0.9866,0.93188,0.98681,0.83292,0.54496,0.6981,0.93045,0.000577782,0.000577782,0.000577782
68,276.359,0.47102,0.62773,0.93969,0.95095,0.89805,0.96606,0.83738,0.53499,0.6544,0.92754,0.000561279,0.000561279,0.000561279
69,282.309,0.53311,0.6644,0.94054,0.98079,0.93333,0.98812,0.87702,0.51045,0.62403,0.92236,0.000544776,0.000544776,0.000544776
70,288.323,0.48934,0.58203,0.93087,0.95652,0.9895,0.99313,0.86605,0.49318,0.59427,0.91241,0.000528272,0.000528272,0.000528272
71,292.843,0.51902,0.63005,0.95177,0.96647,0.95598,0.97417,0.86666,0.48768,0.58928,0.90543,0.000511769,0.000511769,0.000511769
72,296.951,0.5312,0.65534,0.98099,0.96243,0.96273,0.97417,0.85029,0.49503,0.59973,0.90822,0.000495266,0.000495266,0.000495266
73,301.07,0.46258,0.56687,0.93583,0.95788,0.96331,0.97879,0.85171,0.50594,0.598,0.90962,0.000478762,0.000478762,0.000478762
74,305.151,0.4522,0.55552,0.93429,0.934,0.94407,0.97037,0.84472,0.5018,0.5886,0.90131,0.000462259,0.000462259,0.000462259
75,309.312,0.44868,0.56384,0.9209,0.91811,0.96667,0.96188,0.8713,0.47888,0.5578,0.88691,0.000445756,0.000445756,0.000445756
